Age;Work_Type;Marital_Status;Level_Education;Delinquent_Credit;Housing_Credit;Personal_Credit;Contact_Month;Contact_Day_Week;Call_Duration;Number_Calls
21;3;1;2;0;1;0;12;3;2;1
32;2;0;0;1;1;1;12;1;3;2
59;9;0;2;1;1;0;5;5;2;1
31;4;1;0;1;0;1;9;3;1;5
49;3;0;2;1;1;0;9;5;3;4
30;8;1;3;1;0;0;2;5;2;2
51;3;1;3;0;0;0;8;5;1;2
48;4;2;3;0;0;1;8;4;1;1
52;1;0;2;1;0;1;2;3;6;4
35;6;0;1;1;1;1;10;3;4;4
52;6;1;0;0;0;0;3;5;1;1
25;8;2;3;1;0;0;11;5;6;2
43;1;0;2;0;0;1;3;5;5;4
50;0;1;0;1;0;0;11;2;6;3
59;1;0;2;1;1;1;2;3;1;3
33;5;0;0;0;0;0;2;1;6;5
34;3;0;0;1;1;1;8;5;6;4
33;6;1;2;1;0;0;5;5;2;5
50;9;2;1;1;1;0;4;3;6;1
48;9;2;0;1;0;1;11;5;3;2
47;10;1;1;1;1;0;2;4;1;1
49;9;0;0;1;1;1;9;5;4;5
57;3;2;1;1;0;1;12;2;1;4
27;8;1;1;1;0;0;10;2;3;2
30;3;1;0;1;1;0;12;5;1;2
44;8;1;3;0;0;0;11;1;2;4
44;10;2;2;0;1;1;2;3;6;3
39;2;2;3;1;0;0;9;1;1;3
39;5;0;2;0;0;0;10;3;4;3
30;10;1;3;0;1;0;12;2;1;1
43;0;2;3;1;0;1;8;2;1;3
26;7;1;0;1;0;0;6;3;3;3
31;9;0;2;0;1;1;12;1;3;5
34;0;2;2;1;1;0;10;1;3;5
47;3;0;0;0;0;0;9;1;1;5
53;5;1;2;0;1;0;9;1;3;4
52;3;2;2;0;1;1;3;4;2;1
40;3;0;3;0;0;1;12;2;1;4
29;1;2;1;0;0;0;10;2;3;5
33;1;1;0;0;1;1;8;5;6;4
21;6;2;3;0;1;0;3;2;6;5
42;5;1;0;1;1;1;9;5;3;2
41;0;0;3;1;1;0;11;3;1;1
56;5;1;0;1;0;1;5;2;1;5
24;5;1;2;0;1;1;12;4;5;5
46;10;0;2;1;1;1;11;3;6;3
50;4;1;0;0;1;0;2;1;1;3
38;5;1;3;1;0;1;5;2;6;2
26;9;2;2;0;0;1;5;3;5;2
26;0;0;1;0;1;0;11;1;1;2
47;9;0;2;1;0;1;11;2;6;1
34;9;2;2;0;1;1;8;4;6;4
44;9;1;0;1;1;0;12;4;6;3
44;6;0;3;1;1;0;7;3;6;1
29;2;0;3;0;1;0;3;1;2;1
57;9;0;3;0;0;1;3;4;3;2
28;4;2;0;0;1;1;3;2;4;4
27;2;0;2;1;0;1;7;4;6;3
25;9;2;0;1;1;1;10;5;3;2
32;0;0;0;1;0;0;8;3;1;4
25;1;2;3;1;1;1;9;3;5;2
35;0;1;0;0;0;0;11;4;6;2
43;9;0;0;1;1;0;4;5;4;2
32;9;2;1;0;0;1;3;4;5;3
34;10;2;1;0;0;0;5;3;4;2
21;3;0;0;0;1;1;12;5;5;2
54;1;1;2;1;1;0;8;5;5;4
44;10;0;1;0;0;0;3;4;1;5
25;8;1;3;0;0;1;7;5;2;1
54;2;1;1;0;1;1;12;5;4;3
53;1;2;1;1;1;0;7;2;3;4
55;2;2;1;0;0;0;12;4;1;1
36;10;0;2;1;0;0;8;4;3;4
29;3;2;0;1;0;0;2;5;4;1
26;0;2;1;0;1;0;8;2;6;4
39;10;0;0;0;0;1;4;3;5;5
60;0;0;2;0;1;1;4;4;4;5
22;0;1;1;1;1;1;11;1;4;2
30;9;0;2;1;0;0;10;2;4;4
21;8;1;2;1;1;1;9;2;5;1
41;5;2;0;1;1;0;7;2;6;2
23;5;0;3;1;1;0;10;4;3;1
28;2;2;0;0;1;0;4;2;2;5
21;10;2;3;0;1;0;11;5;2;4
50;8;2;1;1;0;0;2;5;6;1
58;4;2;3;0;0;1;6;5;5;4
38;0;1;1;0;0;0;12;5;1;1
53;2;1;1;0;1;1;3;5;5;3
36;5;1;1;1;1;1;3;2;5;2
26;4;2;3;1;0;0;7;3;3;3
25;6;0;1;0;0;0;5;1;3;1
54;8;0;2;1;1;1;5;2;2;2
59;4;0;3;0;0;1;11;3;6;5
21;7;0;1;1;1;1;2;1;3;2
20;7;1;1;1;0;0;9;2;4;4
29;0;2;1;1;0;1;7;2;4;1
20;3;0;0;1;1;1;3;3;6;1
49;0;2;3;1;1;1;10;3;5;5
54;7;1;0;0;0;1;3;5;4;4
41;1;2;3;1;0;0;11;2;2;3
33;7;1;0;1;1;0;8;4;1;2
21;5;1;2;1;0;1;10;3;6;2
43;10;0;0;0;0;0;11;4;2;3
30;7;2;3;0;1;1;10;4;3;1
21;3;0;2;1;1;1;3;2;2;2
42;9;1;0;1;0;1;7;1;3;2
30;5;0;2;0;1;1;9;2;1;4
31;0;1;0;0;0;1;12;3;1;3
45;4;1;2;1;0;1;12;1;2;1
30;1;0;0;0;1;1;9;4;2;5
34;10;2;2;1;0;0;9;2;5;5
24;4;1;2;0;0;0;7;4;2;5
27;6;1;3;1;0;0;2;4;3;2
40;1;2;3;1;1;0;5;1;4;2
53;6;0;3;0;1;1;5;4;3;1
38;1;1;2;0;1;1;5;5;6;2
39;10;0;2;0;0;0;9;2;4;4
60;8;0;0;0;0;0;12;3;6;5
37;5;0;0;1;1;0;11;2;1;5
29;7;1;3;0;0;0;7;4;2;1
50;2;0;1;1;1;1;7;5;1;3
55;7;1;2;1;1;1;7;2;2;4
21;9;1;2;1;1;1;11;5;4;1
48;1;1;2;1;1;0;7;3;4;3
31;7;2;0;0;1;0;10;2;4;2
51;8;2;2;0;1;0;5;1;5;4
49;3;1;1;1;1;1;5;5;3;2
24;3;1;0;1;0;1;5;1;6;1
31;5;2;0;0;1;1;2;3;5;5
40;8;1;3;1;1;0;3;5;4;1
43;0;1;0;1;0;0;2;5;1;5
48;9;0;2;0;1;0;3;2;3;2
60;9;0;2;0;1;1;7;5;4;4
25;8;2;1;0;1;0;5;1;6;5
21;3;2;1;1;1;0;7;3;6;3
29;6;2;3;0;1;1;10;4;6;5
22;3;1;1;1;0;0;11;1;6;1
37;6;1;2;1;1;1;2;3;4;2
58;10;1;3;1;0;0;8;1;4;1
32;9;1;0;0;1;0;8;1;1;1
31;4;2;0;1;0;1;4;3;2;5
29;5;0;2;0;0;1;4;1;5;2
33;7;0;3;0;0;0;7;1;5;1
29;4;2;2;1;0;0;8;1;1;5
20;3;2;2;0;0;1;5;2;4;1
25;1;2;0;1;1;1;9;4;4;5
53;10;1;2;1;0;0;4;1;1;4
36;6;1;3;0;1;0;10;5;6;4
60;4;1;0;0;1;0;10;2;6;1
41;3;1;2;0;0;0;2;2;3;2
26;10;0;1;0;1;1;8;2;5;2
33;7;1;1;0;0;1;6;5;2;1
44;9;1;3;1;1;0;10;2;6;1
58;3;1;3;1;0;0;6;3;6;4
41;5;2;2;0;1;0;12;5;6;3
28;4;0;1;1;1;1;11;1;3;1
43;5;1;0;1;0;0;2;4;1;4
20;1;1;3;0;1;1;10;3;6;2
27;4;1;2;1;0;1;9;2;6;5
44;0;2;0;0;1;0;5;4;6;5
48;6;1;2;1;1;1;2;2;4;5
54;10;1;3;0;0;0;2;2;4;3
40;9;0;1;1;0;0;5;5;3;5
27;0;0;3;1;0;1;3;5;3;5
47;0;2;1;1;1;1;7;3;3;1
50;3;2;1;1;0;1;3;1;1;4
37;7;1;0;1;0;1;7;2;6;2
20;0;1;3;1;1;0;3;4;5;4
36;1;2;2;1;0;1;8;1;5;5
28;6;2;1;0;0;1;10;4;6;4
22;2;0;0;0;1;0;6;5;6;5
33;1;0;1;1;1;0;5;5;1;1
51;2;1;3;1;1;0;3;3;4;3
39;2;1;3;0;1;1;8;3;5;1
30;4;2;1;1;0;0;11;4;5;4
59;8;0;3;1;0;0;3;2;2;1
55;10;2;3;0;1;0;6;5;6;2
47;10;2;1;1;1;0;10;4;3;1
51;8;1;3;1;0;0;4;3;1;1
30;6;0;1;1;1;1;6;3;5;3
29;3;2;2;1;0;1;9;2;1;1
30;3;0;2;0;0;1;8;4;3;3
45;6;1;1;1;1;1;2;2;5;3
30;8;2;3;0;0;0;12;3;4;5
48;0;2;2;0;1;1;6;2;6;3
52;2;0;2;1;1;1;12;1;2;3
42;3;1;3;0;0;0;4;3;6;2
40;7;0;1;0;0;0;11;5;3;2
52;5;0;2;1;0;0;7;1;3;1
25;4;1;3;0;0;1;7;4;6;1
60;9;2;3;1;1;0;5;3;3;2
55;8;1;2;1;0;1;4;2;1;2
33;8;1;1;0;1;1;12;4;5;5
57;6;2;2;1;0;1;12;1;4;2
35;8;0;2;1;1;0;7;5;3;2
26;8;0;0;1;0;0;6;1;1;2
43;9;1;0;1;1;1;5;1;1;3
24;1;0;0;1;1;1;5;3;6;2
34;0;0;0;1;0;1;5;3;6;4
54;3;0;0;1;1;1;5;4;3;1
25;3;0;2;1;0;1;4;1;2;5
28;6;2;0;1;1;1;11;2;6;3
29;8;0;3;1;0;0;9;1;5;5
57;5;1;3;0;0;0;9;4;5;3
56;0;2;1;0;0;0;10;1;5;4
26;3;1;3;0;0;0;7;4;4;2
31;5;1;3;1;1;0;11;1;1;2
43;10;2;2;0;0;1;11;1;2;5
37;9;2;2;1;1;1;5;2;5;5
50;3;2;0;0;0;0;6;4;5;2
59;5;1;0;0;0;1;3;2;5;3
26;8;2;1;0;1;0;5;3;5;5
30;3;1;1;0;0;1;11;2;4;2
55;8;1;1;0;1;1;11;4;3;1
39;0;1;1;1;1;0;7;3;2;4
58;5;0;2;1;0;1;9;2;1;4
35;7;2;0;0;1;0;4;4;5;4
42;7;1;3;1;0;1;3;4;4;3
28;1;0;3;1;1;0;10;4;2;2
46;8;0;1;1;1;1;8;2;2;2
34;4;0;0;0;0;0;5;3;6;4
26;5;2;2;1;0;0;5;5;1;5
22;7;0;3;0;1;0;10;2;1;2
43;2;0;2;1;0;1;8;1;2;1
57;2;1;0;1;0;0;2;4;3;4
28;6;1;0;0;1;1;4;1;3;3
58;8;1;2;0;1;1;6;4;2;2
38;5;1;0;0;1;1;4;2;5;1
59;2;1;1;0;1;0;9;3;3;3
41;3;0;2;1;1;1;5;3;2;5
37;4;0;0;0;1;1;2;1;3;3
26;3;2;3;1;0;1;3;5;2;5
30;5;0;0;1;0;0;9;2;6;5
21;5;0;3;0;1;0;3;2;1;4
58;4;2;1;0;0;0;4;3;2;1
26;4;1;3;1;1;1;2;5;6;4
39;4;0;1;1;0;0;7;4;6;3
22;9;1;0;0;0;1;3;4;1;3
37;1;0;1;0;0;1;5;1;4;5
39;4;1;1;0;0;0;6;1;2;2
45;10;2;3;0;0;1;11;5;4;5
49;8;2;2;1;1;1;12;4;3;1
22;8;0;0;1;0;1;12;3;6;5
21;5;2;0;1;0;1;6;3;3;2
20;8;2;2;1;1;0;6;3;2;3
33;1;1;2;0;1;0;3;4;1;2
53;3;1;2;0;1;1;10;4;2;4
29;7;0;3;0;0;1;2;1;2;1
57;2;0;2;1;1;1;6;2;5;2
53;9;1;2;0;0;0;7;3;1;1
46;6;2;1;1;0;1;2;2;1;1
52;5;2;3;1;1;0;2;3;2;1
23;2;1;1;0;0;1;4;1;2;3
37;9;2;0;1;0;1;5;1;1;2
53;9;2;0;1;0;1;12;5;3;2
46;7;2;2;0;1;1;7;4;6;2
32;0;2;3;1;1;0;5;2;3;3
54;5;0;3;0;1;1;8;5;2;5
51;6;0;0;1;1;1;7;1;6;1
23;6;1;2;1;0;1;3;2;1;1
24;0;1;1;1;1;1;3;1;2;5
30;4;2;1;1;0;1;12;2;1;2
50;5;0;1;0;1;1;8;4;1;4
54;4;2;1;1;0;0;6;3;2;1
33;9;2;3;0;0;0;7;4;3;3
45;8;1;3;0;0;1;9;5;5;5
46;8;0;3;1;0;1;4;2;1;1
43;3;1;3;1;0;1;2;4;3;3
47;5;2;3;0;1;0;5;2;6;5
32;6;1;2;1;1;0;12;4;5;4
31;10;1;2;0;0;0;5;1;1;4
44;4;2;3;1;0;1;10;4;4;4
34;5;1;2;1;1;1;3;3;6;5
53;0;1;2;1;0;0;3;1;1;4
31;0;1;2;1;0;0;6;4;1;1
56;6;1;2;1;1;0;9;1;3;4
40;6;2;3;0;0;1;6;5;3;2
32;10;0;2;1;1;0;2;1;5;3
27;9;0;0;1;1;1;9;3;1;5
28;7;2;2;0;1;0;8;5;4;3
25;3;0;1;1;1;0;11;2;3;2
50;6;2;2;1;1;0;11;3;6;2
54;10;2;1;1;1;1;11;2;2;5
51;9;1;2;0;1;1;3;3;4;2
36;6;1;0;1;0;1;3;3;6;2
25;10;1;1;0;0;1;9;3;1;2
51;3;2;3;1;0;0;8;2;4;3
51;10;2;0;0;0;1;6;5;5;2
37;3;0;2;1;1;0;6;4;3;1
54;0;0;3;1;1;0;11;2;4;2
24;6;2;1;1;0;0;8;3;4;4
26;4;1;3;1;0;1;7;4;5;3
50;8;2;3;1;0;1;11;2;2;5
59;7;1;2;0;0;1;8;2;3;5
45;0;1;3;1;1;1;6;2;4;1
49;7;0;1;1;0;0;2;1;3;1
44;10;1;3;1;0;1;11;3;1;4
60;1;2;1;0;1;1;11;4;1;4
52;0;1;0;1;1;0;5;4;2;3
33;6;1;3;1;1;0;3;2;2;4
48;2;2;2;1;0;1;4;4;6;3
42;2;2;1;1;1;0;9;5;2;3
34;0;2;1;0;1;0;11;5;3;4
22;9;2;3;0;1;0;3;2;4;1
33;6;0;0;1;1;0;8;5;3;4
58;4;2;1;0;0;1;4;1;4;3
29;1;1;3;1;1;0;11;3;1;1
34;2;0;1;0;1;0;8;4;4;3
40;6;1;2;0;0;0;11;2;2;5
54;7;1;0;0;0;0;8;3;5;3
47;5;2;1;0;1;0;10;4;4;5
53;7;0;1;1;0;1;9;3;3;1
39;0;2;1;1;1;1;9;5;6;2
59;4;2;2;0;0;0;3;5;6;5
59;4;1;1;0;1;1;11;2;3;1
52;0;0;1;1;0;0;6;2;1;4
26;8;1;2;1;0;1;10;2;3;2
39;5;1;3;0;0;1;5;4;5;1
32;10;0;2;0;1;0;11;3;5;4
55;0;2;3;0;1;1;5;5;3;3
25;7;2;1;0;0;1;10;3;4;5
21;3;1;3;0;0;1;8;5;4;3
27;1;2;2;1;1;0;4;5;3;1
54;9;0;2;1;0;1;5;4;6;2
27;9;0;1;1;1;0;3;3;6;4
47;4;1;2;0;1;0;9;1;2;4
45;0;1;1;0;0;1;3;2;3;5
36;2;1;2;0;1;1;11;4;6;1
26;1;1;1;1;1;1;11;3;5;5
50;5;2;2;1;0;1;3;4;6;1
38;7;1;3;1;0;0;6;5;2;1
39;4;1;3;0;1;0;6;3;3;2
44;3;0;1;1;0;1;3;3;6;2
34;6;0;0;0;1;0;3;1;1;2
29;8;2;2;1;1;1;11;2;2;1
34;5;0;0;1;0;0;4;5;2;5
59;2;1;2;1;1;0;5;2;3;5
24;3;2;2;1;1;0;5;2;3;1
27;9;0;3;1;1;1;11;2;4;2
20;0;1;1;1;1;0;3;3;4;5
47;0;1;0;1;1;1;2;2;3;5
40;8;0;1;1;1;0;2;2;6;3
45;2;2;1;0;1;0;5;3;5;3
23;2;1;1;0;0;1;12;2;3;5
52;10;1;0;1;0;0;10;5;2;2
32;3;1;0;0;0;0;7;3;5;5
46;3;2;0;1;0;0;4;2;1;5
38;0;1;3;0;1;1;11;4;4;4
22;1;0;3;1;1;1;7;2;4;2
57;10;2;2;1;0;1;7;1;3;1
22;3;2;3;0;0;1;6;2;3;2
36;5;0;0;0;1;0;5;3;6;3
28;9;2;0;0;1;1;11;1;5;4
57;7;0;2;0;0;0;7;1;5;4
40;7;2;3;0;0;0;2;4;4;2
27;9;0;1;1;0;1;6;2;3;1
39;3;0;2;0;0;1;10;5;2;1
40;3;2;0;1;1;1;7;1;4;3
24;10;1;3;1;1;1;8;1;2;2
43;5;0;3;1;0;1;4;1;3;1
31;2;2;2;0;1;1;4;3;4;5
39;7;1;1;0;0;1;6;3;2;5
40;1;1;2;0;1;0;8;5;3;5
47;9;2;1;0;1;0;6;1;2;2
53;7;1;3;0;0;1;4;1;2;2
45;4;0;2;0;1;0;12;4;3;3
60;7;0;0;0;1;1;4;1;3;5
27;5;0;3;0;0;0;10;3;6;1
26;5;1;0;1;0;1;5;4;6;4
24;8;2;0;1;1;0;8;3;1;2
60;2;0;0;0;1;0;6;2;1;4
46;6;1;0;0;1;0;6;2;6;5
35;3;2;1;1;0;1;3;1;6;2
24;0;1;3;1;1;0;6;3;1;2
41;9;2;2;0;0;0;7;5;6;4
32;5;2;2;0;1;0;5;4;3;3
27;3;1;0;1;1;1;7;4;6;2
45;3;0;2;0;0;1;12;3;3;3
26;6;1;2;1;1;1;9;2;2;4
25;1;0;2;0;0;1;11;1;6;2
22;3;0;1;1;1;1;12;5;1;5
47;0;2;1;1;1;0;9;5;1;2
40;10;0;0;0;1;1;12;3;4;3
25;6;2;1;0;0;1;3;5;3;5
59;8;1;3;1;1;1;9;1;1;5
59;7;1;1;0;0;0;9;1;3;1
39;3;0;1;1;1;0;5;4;4;2
41;9;2;1;0;1;1;12;5;2;1
48;8;1;0;0;1;1;10;5;5;1
25;3;2;1;0;1;0;7;5;5;2
39;0;1;1;0;0;0;9;2;4;5
58;6;2;1;1;0;0;4;1;6;3
44;6;2;0;1;0;1;3;3;3;5
39;1;2;1;1;1;0;2;4;2;4
38;6;1;1;1;1;1;3;2;1;4
58;10;2;3;1;1;1;8;1;1;4
42;1;0;1;0;0;0;4;4;4;1
53;4;0;2;0;0;1;8;4;1;3
48;2;0;1;0;1;1;12;5;3;2
37;2;0;3;1;0;1;11;4;2;5
53;10;0;0;0;1;0;11;4;1;3
51;7;1;3;1;1;1;8;4;4;3
60;9;1;0;0;0;1;4;5;6;1
35;3;0;3;0;0;0;6;3;1;5
28;1;0;2;1;0;0;7;1;2;4
21;4;1;2;1;0;1;9;4;3;3
31;9;1;0;0;1;1;2;3;5;4
40;4;0;2;1;0;0;9;3;5;1
44;7;2;1;0;1;1;6;5;6;3
21;6;1;2;0;0;0;12;4;5;2
24;5;1;1;1;1;1;2;2;4;3
27;7;0;1;1;1;1;6;2;3;5
39;2;1;0;0;1;1;7;3;2;2
30;0;0;1;0;0;0;10;1;1;2
28;4;2;1;1;1;0;8;1;3;2
55;2;1;2;0;0;1;9;2;6;1
32;9;2;1;0;1;1;5;4;5;5
54;8;1;0;1;1;0;11;1;5;1
37;9;0;3;1;1;1;6;5;1;4
46;9;2;3;1;1;0;6;2;4;3
21;7;1;3;0;1;0;4;4;4;4
36;0;1;3;1;1;1;6;3;3;5
43;7;1;0;0;1;1;6;4;1;5
40;9;1;0;1;1;1;7;2;6;3
32;4;2;3;0;1;1;5;4;2;3
47;2;1;3;1;1;0;9;3;6;1
42;2;1;2;0;1;1;7;2;6;4
50;2;2;3;0;0;1;6;5;4;3
52;1;2;1;0;1;0;5;1;6;3
58;8;2;3;0;1;0;7;2;3;2
50;2;2;1;1;1;0;12;4;3;1
49;10;1;2;0;1;0;8;2;2;5
34;0;1;2;1;0;0;9;5;1;5
26;2;2;0;0;1;0;7;1;6;3
55;7;1;3;1;0;1;3;2;6;1
49;6;0;1;0;1;1;4;5;6;3
53;9;2;0;1;1;0;2;5;4;1
23;10;0;2;0;0;1;3;2;2;5
52;9;2;0;0;1;1;8;3;5;2
34;0;1;2;1;1;0;2;5;4;5
30;5;0;3;0;0;0;2;3;5;3
43;4;1;0;0;1;0;12;5;4;4
30;3;1;2;0;0;1;3;5;3;3
39;9;2;1;0;1;1;3;5;4;2
39;6;2;1;1;1;0;9;4;2;5
34;2;2;0;0;1;0;5;5;6;1
24;8;1;0;1;0;0;10;3;3;2
58;2;1;0;0;1;0;2;4;3;4
29;10;2;0;0;0;1;10;5;2;1
37;9;1;0;0;0;1;7;5;3;5
60;10;2;1;0;1;1;12;5;6;3
56;2;1;1;0;0;1;10;3;2;2
47;2;0;3;1;1;0;7;2;5;3
22;0;0;0;1;0;1;2;3;4;2
20;10;2;0;0;1;0;5;1;2;5
31;7;2;0;1;0;0;5;1;5;5
21;2;0;0;1;0;0;10;2;6;3
41;4;1;3;1;0;0;2;4;2;5
55;10;1;1;1;0;1;7;5;6;4
53;1;0;3;0;1;0;6;2;6;3
54;9;2;2;0;0;0;5;5;2;4
49;3;2;1;0;0;0;7;5;1;5
59;7;0;1;0;0;1;3;2;4;4
50;10;1;3;1;1;0;2;5;3;3
35;7;1;1;0;1;0;4;4;2;3
28;6;1;1;1;1;0;10;3;2;4
39;5;0;1;0;1;0;4;2;2;1
21;7;1;2;1;0;1;6;1;6;1
43;6;0;1;0;1;1;6;2;3;4
26;4;1;3;1;0;0;3;1;3;3
29;8;1;3;0;0;1;12;3;6;3
51;4;1;3;0;1;0;7;3;1;4
27;3;1;1;1;0;1;6;5;5;2
56;1;0;1;0;1;0;5;5;6;2
26;7;1;1;1;1;0;9;1;4;5
48;0;1;2;1;1;1;7;1;2;1
60;4;1;3;0;1;1;3;2;3;1
27;9;0;1;0;1;1;7;1;3;4
58;1;2;3;0;0;0;3;2;6;1
40;2;1;3;0;1;1;4;2;4;1
44;2;1;2;1;0;1;11;1;4;4
38;5;1;2;0;0;1;2;4;2;1
44;2;1;2;0;0;0;3;2;2;4
57;5;1;2;0;1;1;12;5;2;2
36;7;1;1;0;1;0;11;1;1;4
38;10;0;1;1;1;0;5;1;5;4
23;9;0;1;0;0;1;2;1;3;3
53;3;2;0;1;0;1;9;5;5;2
24;6;1;0;1;0;1;2;5;1;5
59;3;2;2;1;1;0;10;4;6;2
49;2;0;2;1;1;0;6;3;6;4
51;2;1;2;1;0;1;3;2;3;2
40;0;2;0;1;0;1;12;1;2;3
43;1;0;2;1;1;1;12;4;1;4
24;0;2;1;0;0;0;4;3;4;2
22;10;2;2;0;0;0;5;5;1;1
32;2;0;3;0;0;1;6;4;5;4
41;4;1;0;1;0;0;8;2;2;1
25;5;2;3;0;0;0;9;1;3;1
38;7;2;1;1;1;1;5;1;4;5
32;9;0;0;0;0;1;3;4;6;4
23;5;2;1;0;0;1;6;4;1;2
30;4;1;1;1;0;1;7;3;2;1
45;5;2;3;1;1;1;4;5;1;5
20;0;1;0;1;0;1;6;1;3;4
29;1;1;0;0;0;1;4;1;2;5
48;9;0;1;1;0;0;2;5;2;5
28;5;1;3;0;1;0;3;5;6;4
31;0;0;3;0;0;0;7;1;1;5
56;2;1;1;0;0;1;2;1;5;4
52;10;1;1;0;0;1;3;2;5;1
46;2;1;3;0;1;1;4;1;6;3
40;5;1;0;0;1;0;11;2;3;4
27;6;1;2;0;0;0;3;2;6;1
47;3;0;1;0;1;1;12;3;6;1
45;0;2;2;1;0;1;9;5;3;3
26;4;1;2;0;0;1;11;1;4;3
47;2;2;2;0;0;0;12;3;3;4
20;1;0;0;1;0;1;10;2;5;1
36;8;1;3;0;1;1;12;1;5;4
43;6;1;1;1;0;0;11;3;5;4
59;0;1;2;1;0;0;8;1;3;5
57;7;0;2;1;1;1;10;4;3;3
46;9;0;0;1;0;0;8;4;4;3
29;10;2;3;0;1;1;8;3;5;5
42;4;0;0;1;0;0;7;4;6;4
38;1;1;0;0;0;0;3;2;3;1
59;1;1;0;0;1;0;7;1;3;4
56;5;0;0;1;0;0;6;1;5;1
53;3;1;3;0;0;1;4;5;3;2
59;3;0;1;1;1;1;9;5;1;1
53;7;1;3;0;1;1;2;1;2;1
44;8;2;3;1;1;1;10;5;5;2
24;2;0;1;1;0;1;5;1;2;4
26;7;1;0;1;1;1;8;1;5;3
31;1;0;2;1;1;0;10;3;3;5
32;3;0;1;0;0;1;6;5;6;4
36;5;2;0;1;1;1;10;4;4;1
38;1;1;2;1;0;1;2;2;3;4
40;1;0;1;1;1;0;8;3;5;1
37;8;2;2;0;1;0;10;1;3;5
39;9;2;3;0;1;0;2;5;3;3
40;8;2;1;1;1;1;6;2;3;2
50;6;2;3;0;0;0;11;4;4;5
31;1;2;2;1;1;0;8;3;3;4
24;3;0;3;1;0;0;2;5;6;5
30;10;0;1;1;1;0;9;4;5;3
53;7;0;3;0;0;0;7;2;4;3
40;5;1;2;0;0;1;2;4;2;2
30;6;0;2;0;0;1;12;1;1;5
42;1;1;3;1;0;0;3;5;4;1
36;0;1;3;0;1;1;12;1;2;4
60;4;1;2;0;1;1;6;4;4;4
51;5;2;2;1;1;1;9;5;4;4
28;2;2;3;0;0;1;5;4;3;5
57;5;0;0;0;0;1;5;4;2;5
47;7;1;2;1;1;1;7;2;4;3
46;8;0;1;0;1;0;9;1;1;3
48;6;1;1;1;1;0;11;5;4;5
52;5;1;0;1;0;0;6;1;6;4
50;9;0;3;1;0;0;2;2;3;2
27;5;2;1;1;0;1;5;5;1;5
26;3;1;3;1;1;0;12;1;1;1
39;2;0;3;0;1;0;3;1;2;5
